id,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AA,AA,AA,AA,AA,AA,AA,AA
43.92,-72.43,-58.53,-54.85,-54.70,-54.66,-54.48,-53.03,-54.23,-53.58414979,-65.73232907,-62.44653727,-65.48272265,-65.05430214,-66.59711802,-53.96138831,-66.18504089,-55.6177699,-66.74680034,-56.26406483,-65.49384909,-64.22172932,-57.71721365,-66.55990415,-66.08605353,-57.28667803,-82.76,-66.67,-61.88,-62.07,-61.56,-60.88,-59.23,-60.70
44.91,-75.50,-61.05,-57.20,-56.93,-56.95,-56.57,-55.00,-56.28,-55.73058572,-68.76965067,-65.28518719,-68.59555384,-68.15047521,-69.95396246,-56.40940066,-69.40943853,-57.87259306,-69.91630265,-58.73386787,-68.53204136,-67.20975063,-60.13600948,-69.57193965,-69.24074413,-59.01949448,-86.68,-69.87,-64.34,-64.57,-63.71,-62.94,-61.33,-62.97
45.91,-78.98,-63.70,-59.53,-59.41,-59.22,-58.74,-57.02,-58.39,-58.02274573,-72.07843222,-67.44990144,-71.96344914,-71.56828883,-73.64304093,-59.32005449,-72.93671881,-60.20419775,-73.46182945,-61.3391637,-72.03288483,-70.53478614,-62.84135372,-73.07881521,-72.77895746,-61.16786883,-91.27,-73.43,-67.18,-67.38,-66.65,-65.72,-63.99,-65.81
46.91,-82.76,-66.67,-61.88,-62.07,-61.56,-60.88,-59.23,-60.70,-60.5418606,-75.34619186,-68.99525574,-75.48829624,-75.15684023,-77.49349114,-62.30689954,-76.85349181,-62.72093291,-77.29435046,-64.06472193,-75.66948842,-73.90163585,-65.73056294,-76.66574867,-76.47199574,-63.18924587,-95.61,-77.20,-70.20,-70.02,-69.53,-68.53,-66.53,-68.69
47.91,-86.68,-69.87,-64.34,-64.57,-63.71,-62.94,-61.33,-62.97,-63.12014212,-79.10003072,-70.07495984,-79.27955924,-79.04359798,-81.83990981,-65.52590195,-81.33138332,-65.42047296,-81.54650385,-66.79819787,-79.7578463,-77.58102926,-68.55299403,-80.6187308,-80.52244279,-65.39843459,-99.09,-81.30,-73.10,-73.13,-72.48,-71.34,-69.17,-71.25
48.91,-91.27,-73.43,-67.18,-67.38,-66.65,-65.72,-63.99,-65.81,-65.90435215,-82.91857098,-71.94489029,-83.14015065,-83.01178082,-86.37321696,-69.14554184,-86.09770169,-68.32454908,-86.18544447,-69.68512784,-84.1197234,-81.40939489,-71.26715639,-84.78441329,-84.55146421,-67.86945708,-100.27,-85.26,-76.30,-76.47,-75.44,-73.87,-71.48,-73.42
49.90,-95.61,-77.20,-70.20,-70.02,-69.53,-68.53,-66.53,-68.69,-68.8111315,-86.63408544,-74.52084111,-86.45601018,-86.32150737,-90.15444562,-72.85484589,-89.92858431,-71.40220997,-90.28687909,-72.59043673,-87.59535999,-84.50976997,-74.03991955,-88.36745166,-87.54174155,-70.22821964,-99.99,-88.54,-79.33,-79.40,-77.61,-75.66,-72.79,-75.11
50.90,-99.09,-81.30,-73.10,-73.13,-72.48,-71.34,-69.17,-71.25,-71.69859205,-90.47490332,-77.26006916,-89.41724654,-89.14723471,-92.80634922,-76.57944274,-93.15671211,-74.83463094,-93.42405908,-75.50569214,-90.90163057,-87.81320837,-77.076995,-91.54587868,-90.61614468,-72.81288012,-102.67,-91.88,-81.32,-81.37,-78.57,-76.14,-73.27,-76.50
51.90,-100.27,-85.26,-76.30,-76.47,-75.44,-73.87,-71.48,-73.42,-74.41504198,-96.47198863,-79.30432212,-94.82404475,-94.66952928,-98.49485467,-80.59931499,-100.0092757,-78.36074506,-99.56599461,-78.71932171,-96.9466252,-93.47199748,-80.63388347,-96.91873687,-96.04288626,-75.49590956,-105.25,-97.73,-82.63,-82.98,-79.89,-77.62,-75.14,-78.25
52.90,-99.99,-88.54,-79.33,-79.40,-77.61,-75.66,-72.79,-75.11,-77.11878231,-103.9966142,-80.35806794,-101.5715131,-101.6506034,-106.0682374,-85.55233336,-108.3393992,-81.669583,-107.6472242,-81.82600016,-104.3862436,-100.2040749,-84.48738431,-103.4385213,-102.6205524,-78.37882747,-99.16,-104.59,-84.46,-84.71,-82.87,-80.80,-77.73,-80.57
53.90,-102.67,-91.88,-81.32,-81.37,-78.57,-76.14,-73.27,-76.50,-79.99045185,-112.3487896,-81.68396712,-109.2374624,-109.6004188,-113.7269705,-89.40641769,-117.0745666,-85.21622261,-116.1560711,-85.26183408,-112.4753956,-107.9530645,-88.03906288,-110.072348,-108.7388939,-80.9257168,-88.54,-111.65,-85.71,-85.68,-84.91,-82.47,-78.86,-82.00
54.89,-105.25,-97.73,-82.63,-82.98,-79.89,-77.62,-75.14,-78.25,-82.4477102,-122.1952756,-82.35814916,-117.8670053,-117.983107,-120.7653655,-92.36928339,-125.822098,-88.73943761,-124.9459191,-87.59834133,-122.0237884,-116.6998161,-91.4970262,-117.9951798,-115.7339883,-83.7081776,-76.72,-121.08,-84.51,-85.70,-86.62,-84.08,-79.46,-82.85
55.89,-99.16,-104.59,-84.46,-84.71,-82.87,-80.80,-77.73,-80.57,-84.45522348,-131.1850032,-83.64639876,-127.3692258,-125.0044657,-120.8978337,-96.54497248,-130.6673206,-91.84518772,-131.9836741,-88.72914603,-130.7690356,-125.1395974,-96.47639508,-124.5915545,-118.4335476,-87.10149711,-71.07,-130.42,-83.30,-85.48,-88.90,-86.22,-80.56,-84.07
56.89,-88.54,-111.65,-85.71,-85.68,-84.91,-82.47,-78.86,-82.00,-86.61526155,-123.7395053,-84.8594297,-130.920869,-112.0601967,-75.03688289,-97.20555077,-64.9784665,-93.86781072,-97.57377149,-88.62783375,-117.8993511,-126.0583887,-100.8648016,-104.9344124,-90.6839857,-90.73456278,-72.03,-122.01,-84.89,-87.30,-92.30,-89.58,-83.03,-86.58
57.89,-76.72,-121.08,-84.51,-85.70,-86.62,-84.08,-79.46,-82.85,-89.51638573,-62.90251962,-87.8171722,-72.90627589,-52.31041824,-48.77518047,-87.04955436,-41.82962054,-95.34835333,-51.58820736,-87.81584733,-48.46330481,-61.69153993,-100.236902,-63.89485175,-64.99259888,-94.46675645,-76.18,-62.59,-86.24,-89.57,-94.92,-92.49,-85.21,-88.49
58.89,-71.07,-130.42,-83.30,-85.48,-88.90,-86.22,-80.56,-84.07,-91.89725238,-56.4643295,-90.91541016,-51.22460737,-51.18355592,-54.37832114,-80.67439403,-52.30229176,-95.26094685,-58.35945767,-87.59554941,-48.09289074,-44.89290567,-95.35905383,-64.89482504,-64.99517307,-98.12753298,-81.09,-54.17,-89.28,-93.19,-98.28,-96.44,-88.21,-91.29
59.88,-72.03,-122.01,-84.89,-87.30,-92.30,-89.58,-83.03,-86.58,-94.60949365,-65.23187607,-93.9859872,-62.11163009,-62.97261746,-65.79051788,-82.33095744,-64.2817108,-94.68957174,-70.31147089,-90.41760869,-60.00753221,-56.47641922,-92.22510462,-74.80603241,-73.01838315,-101.7568946,-87.21,-64.82,-91.53,-96.22,-97.97,-97.46,-88.88,-91.36
60.88,-76.18,-62.59,-86.24,-89.57,-94.92,-92.49,-85.21,-88.49,-97.5954015,-76.10509255,-99.11925711,-74.54393654,-74.29419643,-76.69494391,-87.0694064,-74.71481628,-95.2744831,-80.9240451,-93.82454404,-71.16809692,-67.83953518,-93.34953632,-84.96691805,-82.1498868,-105.2464754,-94.02,-75.33,-93.20,-98.88,-97.50,-97.19,-89.77,-91.05
61.88,-81.09,-54.17,-89.28,-93.19,-98.28,-96.44,-88.21,-91.29,-100.7688937,-87.19993364,-104.9334748,-86.83351631,-85.43546514,-87.78189745,-93.30648675,-85.26164465,-96.99538505,-91.84392274,-97.58910997,-82.60068948,-78.66611255,-97.45133175,-95.5390466,-92.24884559,-108.4280142,-101.27,-86.44,-97.41,-103.82,-101.21,-100.31,-93.72,-94.78
62.88,-87.21,-64.82,-91.53,-96.22,-97.97,-97.46,-88.88,-91.36,-105.6366104,-98.62958458,-109.8725343,-98.6661245,-96.13845483,-98.70266273,-101.3273183,-95.74888624,-102.0526073,-102.9722378,-103.7855386,-93.77472139,-89.25870255,-104.2170537,-106.1319806,-102.7927348,-111.2225507,-108.83,-97.49,-104.28,-110.81,-107.18,-106.02,-99.80,-100.99
63.88,-94.02,-75.33,-93.20,-98.88,-97.50,-97.19,-89.77,-91.05,-112.1894448,-109.774946,-115.4161173,-109.8545958,-106.2888983,-109.4182295,-110.8392895,-105.977887,-109.9664779,-113.9470295,-111.7021996,-104.5596823,-99.5048879,-112.8572115,-116.5736242,-113.2952391,-114.0004996,-116.64,-108.15,-112.01,-118.80,-113.95,-112.22,-106.42,-107.86
64.87,-101.27,-86.44,-97.41,-103.82,-101.21,-100.31,-93.72,-94.78,-119.8892201,-120.6020509,-122.8669226,-120.6596838,-116.122806,-119.965049,-120.9613759,-116.0764861,-119.3088935,-124.7270256,-120.4048405,-114.940157,-109.2146693,-122.6318797,-126.8785021,-123.6035303,-119.1218707,-124.71,-118.48,-120.06,-127.33,-122.01,-119.71,-113.31,-114.99
65.87,-108.83,-97.49,-104.28,-110.81,-107.18,-106.02,-99.80,-100.99,-128.4390825,-131.5165539,-131.9099048,-131.4186838,-125.9916058,-130.6551146,-131.4745006,-126.25182,-129.5453245,-135.5553487,-129.575939,-125.4096315,-118.8693236,-132.8469399,-137.2185662,-133.9813429,-126.6484993,-133.14,-128.72,-128.51,-136.41,-131.50,-128.77,-121.06,-122.74
66.87,-116.64,-108.15,-112.01,-118.80,-113.95,-112.22,-106.42,-107.86,-137.827563,-142.7365539,-142.1483087,-142.4991121,-136.1722595,-141.746085,-142.5765469,-136.7997813,-140.5180576,-146.7235122,-139.2441037,-136.1901693,-128.7261697,-143.6109691,-147.8804454,-144.7742952,-135.6560384,-142.12,-139.20,-137.78,-146.22,-141.94,-138.82,-130.12,-131.88
67.87,-124.71,-118.48,-120.06,-127.33,-122.01,-119.71,-113.31,-114.99,-148.0736197,-154.2731022,-152.92996,-153.9082652,-146.723537,-153.3169381,-154.2126223,-147.7806374,-151.9549796,-158.2383095,-149.5308819,-147.4022587,-138.9125026,-154.8887951,-158.9029271,-155.973364,-145.8048661,-151.67,-149.95,-148.08,-156.84,-152.91,-149.28,-139.98,-142.01
68.87,-133.14,-128.72,-128.51,-136.41,-131.50,-128.77,-121.06,-122.74,-159.031559,-166.107055,-164.0664995,-165.6177396,-157.6412194,-165.2828012,-166.2741793,-159.1927143,-163.8731775,-170.0352326,-160.4682632,-158.9866925,-149.5020398,-166.5975061,-170.2161064,-167.5351536,-156.5369167,-161.80,-161.03,-158.96,-167.99,-164.22,-160.11,-150.40,-152.62
